,smoothed_model_name,experiment_name,seed,w_inf,cluster_param,smooth_a_mu,smooth_a_sigma2,smooth_a_p,smooth_t_mu,smooth_t_sigma2,smooth_t_p,constant_alpha,smoothing_target,hurdle_model,test_valid,non_degen_ll,clustering_matrix_name,clustering_transformation,distance_metric,cluster_inertia,run_timestamp
140,k_clusters,global_smoothing,6654,0.3,1,0.5,0.35,0.2,0.0,0.0,0.0,True,1,True,valid,-1.4132882,u,none,l1,0.0,20260810_231431_201676
104,k_clusters,global_smoothing,6654,0.2,1,0.7,0.9,0.3,0.0,0.0,0.0,True,1,True,valid,-1.4133779,u,none,l2,0.0,20260810_223933_736562
131,k_clusters,global_smoothing,6654,0.28,1,0.0,0.0,0.0,0.75,0.85,0.45,False,1,True,valid,-1.4133825,u,none,l2,0.0,20260810_230545_747046
100,k_clusters,global_smoothing,6654,0.38,1,0.8,0.9,0.5,0.0,0.0,0.0,True,1,True,valid,-1.4134164,u,none,l2,0.0,20260810_223539_413104
130,k_clusters,global_smoothing,6654,0.24,1,0.0,0.0,0.0,0.8,0.45,0.35,False,1,True,valid,-1.4134893,u,none,l2,0.0,20260810_230447_608685
75,k_clusters,global_smoothing,6654,0.34,1,0.0,0.0,0.0,0.9,0.55,0.45,False,1,True,valid,-1.4135077,u,none,l2,0.0,20260810_221112_780781
176,k_clusters,global_smoothing,6654,0.2,1,0.0,0.0,0.0,0.35,0.45,0.15,False,1,True,valid,-1.4135553,u,none,l1,0.0,20260810_234939_974342
119,k_clusters,global_smoothing,6654,0.22,1,0.2,0.55,0.4,0.0,0.0,0.0,True,1,True,valid,-1.41367,u,none,l2,0.0,20260810_225407_585558
84,k_clusters,global_smoothing,6654,0.34,1,0.6,0.7,0.6,0.0,0.0,0.0,True,1,True,valid,-1.4136784,u,none,l2,0.0,20260810_222001_508124
133,k_clusters,global_smoothing,6654,0.38,1,0.0,0.0,0.0,0.55,0.65,0.15,False,1,True,valid,-1.413717,u,none,l1,0.0,20260810_230743_127583
118,k_clusters,global_smoothing,6654,0.22,1,0.0,0.0,0.0,0.7,0.65,0.35,False,1,True,valid,-1.4137706,u,none,l2,0.0,20260810_225309_747255
51,k_clusters,global_smoothing,6654,0.22,1,0.0,0.0,0.0,0.55,0.35,0.4,False,1,True,valid,-1.4138111,u,none,l2,0.0,20260810_214752_853308
151,k_clusters,global_smoothing,6654,0.28,1,0.2,0.25,0.55,0.0,0.0,0.0,True,1,True,valid,-1.413868,u,none,l2,0.0,20260810_232513_748444
1,k_clusters,global_smoothing,6654,0.38,1,0.6,0.9,0.1,0.0,0.0,0.0,True,1,True,valid,-1.4138725,u,none,l1,0.0,20260810_205917_874230
23,k_clusters,global_smoothing,6654,0.2,1,0.0,0.0,0.0,0.8,0.4,0.1,False,1,True,valid,-1.4139603,u,none,l1,0.0,20260810_212059_097219
